run_id,date,day_type,number_of_tasks,task_1_planned,task_1_achieved,task_1_importance,task_1_quality,task_1_score,task_2_planned,task_2_achieved,task_2_importance,task_2_quality,task_2_score,task_3_planned,task_3_achieved,task_3_importance,task_3_quality,task_3_score,task_4_planned,task_4_achieved,task_4_importance,task_4_quality,task_4_score,task_5_planned,task_5_achieved,task_5_importance,task_5_quality,task_5_score,task_6_planned,task_6_achieved,task_6_importance,task_6_quality,task_6_score,task_7_planned,task_7_achieved,task_7_importance,task_7_quality,task_7_score,task_8_planned,task_8_achieved,task_8_importance,task_8_quality,task_8_score,task_9_planned,task_9_achieved,task_9_importance,task_9_quality,task_9_score,task_10_planned,task_10_achieved,task_10_importance,task_10_quality,task_10_score,daily_efficiency
11,2025-12-19,Normal,3,3.12,3.13,0.68,0.86,0.91,2.2,1.73,0.97,0.71,0.745,3.07,2.96,0.54,0.8,0.733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.049
12,2025-12-20,Efficient,5,0.55,0.69,0.2,0.99,0.852,0.83,0.89,0.49,1.0,0.928,3.13,3.79,0.45,0.98,0.984,1.75,1.62,0.2,0.78,0.532,1.89,2.23,0.72,1.0,1.129,,,,,,,,,,,,,,,,,,,,,,,,,,1.301
13,2025-12-21,Chill,4,2.19,2.22,0.8,0.98,0.966,1.73,1.18,0.57,0.83,0.65,4.75,4.88,0.86,0.85,0.962,3.23,2.45,0.48,0.74,0.639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.055
14,2025-12-22,Normal,4,4.17,4.69,0.78,1.0,1.05,2.39,2.47,0.67,0.85,0.911,3.36,3.11,0.56,0.96,0.757,4.6,3.67,0.79,0.77,0.701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.073
15,2025-12-23,Efficient,5,2.72,2.99,0.71,0.75,0.992,1.08,1.09,0.84,0.72,0.993,3.5,3.58,0.87,0.67,1.001,1.04,1.22,0.78,0.72,1.066,4.43,6.19,0.45,0.82,1.039,,,,,,,,,,,,,,,,,,,,,,,,,,1.389
16,2025-12-24,Efficient,7,4.66,4.91,0.33,0.83,0.778,3.87,3.68,0.89,0.53,0.751,3.82,3.92,0.72,0.66,0.923,2.63,2.93,0.2,0.7,0.693,3.01,3.7,0.2,0.67,0.735,2.74,3.02,0.73,0.53,0.931,0.9,1.2,0.44,0.86,1.009,,,,,,,,,,,,,,,,1.405
17,2025-12-25,Normal,5,3.01,3.16,0.8,0.86,0.989,2.41,2.47,0.57,0.67,0.804,2.67,2.75,0.82,0.75,0.959,4.95,4.61,0.31,0.67,0.582,2.35,2.22,0.78,0.76,0.815,,,,,,,,,,,,,,,,,,,,,,,,,,1.189
18,2025-12-26,Normal,3,3.88,3.03,0.42,0.73,0.555,1.92,1.42,0.87,0.6,0.634,3.1,2.0,0.99,0.91,0.663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.819
19,2025-12-27,Chill,4,1.13,0.78,0.31,0.8,0.575,1.62,1.1,0.2,0.88,0.552,2.04,1.44,0.77,0.93,0.761,3.74,2.43,0.84,0.84,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.939
20,2025-12-28,Normal,5,1.52,1.32,0.94,0.75,0.822,3.77,3.53,0.65,0.94,0.805,0.85,0.63,0.64,0.66,0.566,1.9,1.5,0.49,0.66,0.56,4.05,3.81,0.77,0.66,0.783,,,,,,,,,,,,,,,,,,,,,,,,,,0.989
21,2025-12-29,Chill,3,1.13,0.49,0.74,0.58,0.503,4.82,2.06,0.26,0.68,0.43,3.87,1.73,0.53,0.95,0.523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.776
22,2025-12-30,Efficient,6,3.71,3.08,0.48,0.44,0.469,0.96,0.73,0.65,0.9,0.582,4.91,4.62,0.38,0.65,0.565,1.38,1.13,0.2,0.96,0.534,4.12,4.11,0.95,0.81,0.933,3.35,3.03,0.47,0.69,0.588,,,,,,,,,,,,,,,,,,,,,0.969
23,2025-12-31,Normal,6,3.16,1.96,0.54,0.51,0.426,1.83,1.57,0.39,0.9,0.637,2.41,1.29,0.26,0.73,0.388,1.13,0.93,0.52,0.88,0.645,1.73,1.25,0.49,0.84,0.558,1.12,0.94,0.44,0.69,0.587,,,,,,,,,,,,,,,,,,,,,0.903
24,2026-01-01,Normal,5,1.25,0.98,0.71,0.89,0.69,1.8,1.17,0.2,0.79,0.451,3.8,2.28,0.5,0.56,0.418,2.73,2.01,0.87,0.8,0.681,3.6,2.44,0.74,0.82,0.588,,,,,,,,,,,,,,,,,,,,,,,,,,0.822
25,2026-01-02,Efficient,5,0.91,0.91,0.44,0.77,0.666,4.13,5.09,0.7,0.68,1.047,4.94,4.71,0.62,0.61,0.652,4.66,6.25,0.74,0.89,1.222,4.23,5.59,0.57,0.93,1.112,,,,,,,,,,,,,,,,,,,,,,,,,,1.35
26,2026-01-03,Efficient,7,2.92,3.7,0.26,0.85,0.856,0.5,0.52,0.2,0.66,0.643,2.29,2.25,0.98,0.52,0.824,4.34,5.62,0.43,0.82,0.962,0.99,1.12,0.3,0.8,0.789,4.57,6.54,0.76,0.83,1.272,1.54,2.08,0.53,0.92,1.098,,,,,,,,,,,,,,,,1.456
27,2026-01-04,Normal,4,4.98,3.83,0.62,0.82,0.623,4.17,3.29,0.92,0.67,0.717,4.5,4.87,0.4,1.0,0.831,0.89,0.77,0.45,0.72,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.993
28,2026-01-05,Chill,3,4.21,2.65,0.93,0.79,0.741,4.09,3.01,0.62,0.96,0.726,1.21,0.99,0.77,0.79,0.792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.931
29,2026-01-06,Efficient,8,1.66,1.54,0.68,0.72,0.698,1.78,1.52,0.7,0.82,0.673,3.89,4.54,0.8,0.93,1.148,2.63,2.3,0.84,0.91,0.779,3.17,3.19,0.83,0.77,0.999,4.75,4.23,0.2,0.74,0.505,4.28,4.96,0.58,0.67,0.924,1.94,2.21,0.39,0.82,0.857,,,,,,,,,,,1.154
30,2026-01-07,Normal,6,0.91,0.77,0.72,0.68,0.687,1.33,1.33,0.2,0.82,0.606,1.97,2.09,0.2,0.77,0.653,4.89,5.51,0.64,0.93,0.953,1.16,0.95,0.72,0.65,0.66,2.06,2.37,0.73,0.71,0.943,,,,,,,,,,,,,,,,,,,,,1.161
31,2026-01-08,Chill,4,4.1,3.06,0.29,0.63,0.543,0.64,0.68,0.74,0.97,0.947,2.03,2.05,0.67,0.95,0.896,2.54,2.38,0.78,0.75,0.861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.121
32,2026-01-09,Chill,3,2.62,2.26,0.38,0.67,0.629,0.87,0.58,0.36,0.73,0.562,4.31,3.54,0.22,0.88,0.602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.104
33,2026-01-10,Chill,4,4.43,4.05,0.33,0.93,0.694,3.34,2.86,0.22,0.87,0.612,1.57,1.47,0.71,0.88,0.86,2.82,2.04,0.81,0.65,0.724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.071
34,2026-01-11,Normal,4,3.98,2.27,0.48,0.7,0.423,2.02,1.65,0.2,0.72,0.506,1.25,0.73,0.2,0.8,0.421,1.43,0.81,0.62,0.62,0.419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.817
35,2026-01-12,Efficient,5,1.51,0.92,0.69,0.55,0.388,2.85,1.89,0.82,0.79,0.527,3.79,2.26,0.91,0.72,0.476,3.96,2.31,0.58,0.76,0.384,4.22,3.3,0.2,0.9,0.496,,,,,,,,,,,,,,,,,,,,,,,,,,0.656
36,2026-01-13,Chill,3,3.05,2.62,0.9,0.75,0.869,4.14,3.58,0.28,0.83,0.629,1.96,1.43,0.79,0.92,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02
37,2026-01-14,Efficient,5,3.22,4.09,0.2,0.58,0.72,0.62,0.68,0.66,0.58,0.909,3.24,4.27,0.52,0.93,1.077,1.6,2.24,0.68,0.94,1.239,2.69,2.86,0.67,0.84,0.975,,,,,,,,,,,,,,,,,,,,,,,,,,1.493
38,2026-01-15,Normal,4,4.2,4.32,0.2,0.83,0.662,1.83,2.13,0.45,0.75,0.807,0.51,0.56,0.35,0.86,0.765,1.29,1.22,0.56,0.86,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.231
39,2026-01-16,Chill,4,0.93,0.77,0.29,0.71,0.589,1.48,0.99,0.49,0.78,0.612,2.74,1.95,0.6,0.52,0.603,3.62,2.56,0.75,0.6,0.681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.048
40,2026-01-17,Normal,4,0.8,0.94,0.25,0.86,0.739,2.9,2.7,0.2,0.78,0.569,0.77,0.81,0.26,0.96,0.735,2.06,2.27,0.6,0.94,0.929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.223
41,2026-01-18,Chill,4,4.05,3.65,0.87,0.87,0.913,1.03,0.7,0.77,0.86,0.729,1.76,1.64,0.5,0.83,0.748,3.05,2.25,0.2,0.8,0.551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03
42,2026-01-19,Normal,4,0.86,0.65,0.94,0.89,0.748,3.38,3.11,0.42,0.86,0.671,2.29,1.5,0.21,0.7,0.433,1.9,1.51,0.42,0.93,0.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.918
43,2026-01-20,Efficient,7,0.76,1.09,0.85,0.86,1.349,1.86,1.84,0.47,0.76,0.666,1.88,2.34,0.91,0.8,1.23,2.52,2.61,0.85,0.67,0.998,0.59,0.62,0.85,0.65,1.012,2.97,3.45,0.59,0.69,0.941,1.96,2.56,0.2,0.87,0.842,,,,,,,,,,,,,,,,1.406
44,2026-01-21,Chill,3,4.74,4.79,0.56,0.84,0.808,4.02,4.08,0.2,0.85,0.637,4.47,3.16,0.84,0.68,0.731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.099
45,2026-01-22,Normal,4,0.55,0.48,0.21,0.96,0.59,1.33,0.78,0.55,0.77,0.454,0.59,0.33,0.44,0.71,0.411,3.99,3.0,0.55,0.91,0.609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.811
46,2026-01-23,Normal,3,4.64,3.33,0.82,0.6,0.599,1.24,1.16,0.79,0.88,0.854,3.52,2.81,0.94,0.74,0.753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.924
47,2026-01-24,Efficient,8,2.95,2.94,0.55,0.83,0.731,1.46,1.2,0.53,0.6,0.519,3.04,2.7,0.36,0.9,0.601,2.58,1.65,0.88,0.81,0.528,1.42,1.19,0.8,0.85,0.707,4.03,3.38,0.55,0.72,0.571,3.75,3.59,0.44,0.7,0.615,0.51,0.44,0.85,1.0,0.803,,,,,,,,,,,0.894
48,2026-01-25,Efficient,8,1.51,1.35,0.2,0.8,0.523,0.6,0.45,0.3,0.76,0.467,2.18,1.49,0.87,0.58,0.51,4.11,3.76,0.22,0.72,0.515,3.59,3.58,0.52,0.76,0.696,1.24,1.11,0.55,0.79,0.634,2.2,1.77,0.54,0.77,0.556,3.34,2.19,0.78,0.6,0.462,,,,,,,,,,,0.896
49,2026-01-26,Normal,3,3.92,3.03,0.38,0.69,0.53,0.78,0.75,0.85,0.9,0.904,3.02,2.92,0.92,0.83,0.927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.032
50,2026-01-27,Chill,4,1.39,0.87,0.68,0.72,0.628,4.33,2.7,0.48,0.81,0.591,2.95,1.4,0.27,0.77,0.468,2.35,1.53,0.42,0.75,0.576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.925
51,2026-01-28,Normal,6,4.42,3.18,0.5,0.71,0.526,1.65,1.42,0.74,0.86,0.758,1.77,1.18,0.65,0.54,0.486,0.92,0.63,0.61,0.68,0.515,1.91,1.44,0.72,0.91,0.668,3.01,1.76,0.2,0.95,0.452,,,,,,,,,,,,,,,,,,,,,0.844
52,2026-01-29,Efficient,8,4.52,3.96,0.27,0.72,0.514,4.47,4.15,0.67,0.97,0.781,1.25,1.19,0.59,1.0,0.777,4.51,3.0,0.3,0.88,0.445,1.91,1.55,0.98,0.72,0.714,4.23,3.21,0.84,0.7,0.601,2.07,1.65,0.28,0.93,0.535,4.29,3.46,0.57,0.9,0.602,,,,,,,,,,,0.877
53,2026-01-30,Efficient,6,1.25,1.19,0.39,0.84,0.633,1.47,0.97,0.24,0.78,0.412,0.77,0.64,0.86,0.69,0.686,2.22,1.84,0.31,0.79,0.52,4.88,4.18,0.43,0.86,0.59,3.33,2.78,0.3,0.66,0.487,,,,,,,,,,,,,,,,,,,,,0.931
54,2026-01-31,Chill,3,1.85,1.59,0.49,1.0,0.756,1.33,0.84,0.82,0.62,0.664,4.24,3.43,0.4,0.86,0.663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.992
55,2026-02-01,Chill,3,2.46,2.44,0.68,0.97,0.903,3.66,2.79,0.85,0.63,0.759,3.44,3.68,0.69,0.88,0.894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.087
56,2026-02-02,Normal,3,1.75,1.57,0.87,0.88,0.858,1.76,1.02,0.55,0.79,0.45,3.07,2.17,0.51,0.83,0.548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.838
57,2026-02-03,Normal,4,2.05,1.64,0.68,0.71,0.637,2.4,1.81,0.53,0.7,0.557,1.66,1.0,0.77,0.69,0.507,2.55,1.88,0.78,0.71,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.837
58,2026-02-04,Chill,5,3.41,2.22,0.44,1.0,0.636,1.02,0.51,0.87,0.75,0.616,2.9,1.71,0.58,0.75,0.581,1.47,0.88,0.8,0.88,0.688,3.16,1.64,0.25,0.57,0.442,,,,,,,,,,,,,,,,,,,,,,,,,,0.86
59,2026-02-05,Efficient,7,3.12,2.41,0.68,0.74,0.562,1.14,1.1,0.2,1.0,0.616,0.82,0.65,0.92,0.96,0.738,1.13,0.92,0.38,0.79,0.528,0.68,0.44,0.43,0.51,0.369,4.55,3.09,0.37,0.67,0.416,4.22,4.2,0.66,0.91,0.82,,,,,,,,,,,,,,,,0.878
60,2026-02-06,Normal,4,4.27,4.21,0.32,0.73,0.629,1.56,1.38,0.87,0.76,0.812,4.02,3.23,0.72,0.91,0.71,1.17,1.1,0.56,0.77,0.723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.018
61,2026-02-07,Chill,3,1.17,0.89,0.38,0.78,0.617,2.19,1.53,0.83,1.0,0.796,4.4,4.15,0.42,0.96,0.754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.991
62,2026-02-08,Chill,5,2.48,1.76,0.36,1.0,0.644,3.75,2.49,0.77,0.69,0.682,1.75,0.9,0.31,0.76,0.492,1.14,0.78,0.48,0.91,0.644,3.26,1.56,0.42,0.66,0.473,,,,,,,,,,,,,,,,,,,,,,,,,,0.923
63,2026-02-09,Efficient,6,3.1,2.45,0.66,0.86,0.606,1.59,1.13,0.81,0.75,0.562,1.82,1.08,0.73,0.66,0.413,2.97,1.84,0.86,0.7,0.478,4.2,3.11,1.0,0.97,0.719,1.86,1.2,0.33,0.62,0.38,,,,,,,,,,,,,,,,,,,,,0.705
64,2026-02-10,Chill,4,1.72,1.28,0.41,0.71,0.599,3.17,2.9,0.41,0.89,0.719,4.4,3.52,0.2,0.82,0.575,3.54,2.3,0.75,0.75,0.677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.041
65,2026-02-11,Chill,3,3.35,2.55,0.42,0.93,0.667,3.97,1.79,0.36,0.52,0.425,3.74,2.11,0.53,0.81,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.929
66,2026-02-12,Efficient,7,1.92,1.67,0.77,0.89,0.739,1.79,1.38,0.2,0.61,0.417,0.59,0.4,0.38,0.71,0.426,4.84,3.99,0.33,0.72,0.506,2.85,2.82,0.58,0.9,0.772,2.07,1.6,0.64,0.63,0.519,4.31,2.79,0.57,0.53,0.384,,,,,,,,,,,,,,,,0.89
67,2026-02-13,Efficient,4,4.72,3.71,0.26,0.97,0.531,1.58,1.33,0.38,0.91,0.58,4.53,3.34,0.78,0.8,0.587,1.24,1.1,0.47,0.88,0.634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.855
68,2026-02-14,Chill,4,0.54,0.35,0.89,0.83,0.745,3.56,1.69,0.83,0.62,0.562,1.25,0.73,0.67,0.82,0.625,1.39,1.03,0.53,0.82,0.666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.865
69,2026-02-15,Chill,4,4.07,4.28,0.61,0.94,0.868,3.91,2.85,0.84,0.61,0.731,3.04,3.02,0.54,0.83,0.795,3.35,2.54,0.81,0.67,0.747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.075
70,2026-02-16,Normal,3,1.19,1.08,0.2,0.75,0.55,3.36,1.78,0.28,0.77,0.395,2.37,2.01,0.28,0.75,0.551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.989
71,2026-02-17,Normal,6,3.03,2.32,0.74,0.77,0.648,4.57,4.32,0.86,0.72,0.846,1.65,1.16,0.61,0.69,0.535,1.83,1.75,0.41,0.96,0.723,2.09,1.95,0.82,0.85,0.857,4.69,3.51,0.44,0.88,0.573,,,,,,,,,,,,,,,,,,,,,0.957
72,2026-02-18,Efficient,7,1.87,2.03,0.21,0.84,0.729,2.4,2.61,0.9,0.83,1.119,4.13,5.91,0.28,0.72,0.897,0.85,1.03,0.31,0.87,0.859,1.83,2.37,0.24,0.74,0.816,2.16,3.03,0.5,0.91,1.111,3.78,5.17,0.78,0.92,1.278,,,,,,,,,,,,,,,,1.503
73,2026-02-19,Efficient,8,1.03,1.37,0.2,0.98,0.888,2.24,3.12,0.2,0.91,0.898,3.27,4.45,0.81,1.0,1.318,2.43,2.65,0.77,0.72,1.01,3.55,4.43,0.83,0.86,1.204,4.33,6.18,0.71,0.85,1.243,0.59,0.67,0.83,0.8,1.096,1.61,1.8,0.51,0.65,0.853,,,,,,,,,,,1.464
74,2026-02-20,Efficient,6,3.39,3.6,0.84,0.74,1.036,2.44,2.13,0.43,0.65,0.541,3.67,3.55,0.39,0.7,0.601,3.46,3.64,0.5,0.81,0.865,3.31,3.11,0.9,0.66,0.797,3.19,3.73,0.28,0.92,0.843,,,,,,,,,,,,,,,,,,,,,1.196
75,2026-02-21,Chill,4,0.57,0.52,0.9,0.76,0.902,3.53,3.82,0.67,0.88,0.882,3.87,4.08,0.31,0.88,0.703,3.26,3.05,0.69,0.84,0.839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.124
76,2026-02-22,Chill,5,1.46,0.88,0.85,0.75,0.681,4.2,3.57,0.57,0.76,0.718,3.82,2.65,0.7,0.6,0.651,2.16,1.8,0.69,1.0,0.823,1.62,1.23,0.31,0.65,0.561,,,,,,,,,,,,,,,,,,,,,,,,,,0.998
77,2026-02-23,Efficient,6,2.33,1.66,0.9,0.92,0.633,4.74,3.84,0.65,0.97,0.65,0.54,0.47,0.99,0.83,0.824,4.14,3.41,0.92,0.77,0.721,1.93,1.67,0.75,0.67,0.656,0.56,0.36,0.23,0.46,0.335,,,,,,,,,,,,,,,,,,,,,0.843
78,2026-02-24,Normal,4,3.8,3.44,0.68,0.67,0.714,1.5,1.36,0.2,0.72,0.542,4.82,4.56,0.86,0.63,0.817,3.63,3.56,0.87,0.89,0.937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.092
79,2026-02-25,Efficient,5,2.48,3.08,0.81,0.85,1.183,3.98,4.9,0.43,0.98,0.985,1.5,1.7,0.36,0.95,0.88,2.59,3.11,0.58,1.0,1.067,2.32,2.42,0.29,0.69,0.707,,,,,,,,,,,,,,,,,,,,,,,,,,1.386
80,2026-02-26,Efficient,6,2.66,1.87,0.61,0.8,0.494,4.95,3.57,0.71,0.89,0.567,2.19,1.69,0.61,0.74,0.536,4.24,4.0,0.95,0.88,0.901,2.42,2.02,0.24,0.69,0.477,0.57,0.4,0.2,0.62,0.394,,,,,,,,,,,,,,,,,,,,,0.85
81,2026-02-27,Efficient,6,3.19,2.92,0.77,0.92,0.796,3.72,2.72,0.55,0.7,0.482,1.35,1.29,0.63,0.93,0.774,1.72,1.24,0.5,0.81,0.495,1.48,1.07,0.28,0.82,0.459,1.34,1.29,0.9,0.86,0.89,,,,,,,,,,,,,,,,,,,,,0.898
82,2026-02-28,Efficient,6,4.03,3.19,0.2,0.79,0.472,3.5,2.35,0.59,0.95,0.498,1.87,1.41,0.37,0.75,0.477,1.9,1.23,0.2,0.51,0.34,2.26,1.5,0.2,0.81,0.415,3.1,2.62,0.34,0.76,0.527,,,,,,,,,,,,,,,,,,,,,0.845
83,2026-03-01,Normal,5,4.12,4.06,0.86,0.77,0.897,3.55,3.01,0.83,0.69,0.739,3.36,3.16,0.59,0.99,0.794,4.27,3.28,0.66,0.72,0.611,2.7,2.32,0.57,0.6,0.616,,,,,,,,,,,,,,,,,,,,,,,,,,1.004
84,2026-03-02,Efficient,6,0.88,0.67,0.69,0.89,0.597,4.38,3.77,0.84,0.9,0.762,4.88,3.46,0.75,0.72,0.529,4.89,4.08,0.73,0.84,0.668,1.71,0.99,0.74,0.64,0.396,1.97,1.28,0.57,0.69,0.42,,,,,,,,,,,,,,,,,,,,,0.749
85,2026-03-03,Efficient,6,4.54,4.17,0.45,1.0,0.687,2.65,2.44,0.66,0.84,0.718,4.93,3.85,0.88,0.63,0.619,2.06,1.72,0.84,0.8,0.707,2.62,2.29,0.31,0.95,0.594,4.1,2.8,0.2,0.88,0.441,,,,,,,,,,,,,,,,,,,,,0.892
86,2026-03-04,Normal,5,3.4,2.06,0.33,0.6,0.408,3.07,1.81,0.58,0.74,0.453,4.86,3.54,0.32,0.74,0.502,0.89,0.64,0.56,0.72,0.546,4.43,2.72,0.34,0.84,0.463,,,,,,,,,,,,,,,,,,,,,,,,,,0.822
87,2026-03-05,Efficient,5,1.4,1.35,0.49,0.84,0.689,3.27,3.77,0.67,0.87,1.046,3.69,3.84,0.62,0.87,0.942,2.61,3.02,0.74,0.94,1.113,4.68,5.84,0.55,1.0,1.076,,,,,,,,,,,,,,,,,,,,,,,,,,1.281
88,2026-03-06,Chill,4,4.11,3.4,0.73,0.93,0.816,3.05,2.18,0.36,0.76,0.587,4.83,4.26,0.29,0.99,0.68,4.32,3.75,0.23,0.96,0.644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.041
89,2026-03-07,Chill,4,2.49,1.93,0.86,0.61,0.763,0.78,0.54,0.87,0.69,0.743,1.61,1.39,0.57,0.83,0.743,0.75,0.5,0.87,0.84,0.751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.978
90,2026-03-08,Chill,5,1.84,1.3,0.87,0.71,0.749,1.28,1.11,0.57,0.79,0.737,3.8,3.55,0.2,0.72,0.584,4.43,3.92,0.36,0.58,0.604,0.87,0.67,0.5,0.74,0.652,,,,,,,,,,,,,,,,,,,,,,,,,,1.101
91,2026-03-09,Efficient,5,3.82,3.1,0.66,0.68,0.575,3.06,2.88,0.48,0.75,0.636,2.56,2.32,0.42,0.57,0.537,4.21,5.07,0.2,0.75,0.751,0.88,0.91,0.57,0.83,0.892,,,,,,,,,,,,,,,,,,,,,,,,,,1.147
92,2026-03-10,Normal,5,4.02,3.64,0.43,0.71,0.626,1.62,1.78,0.55,0.8,0.855,1.51,1.34,0.79,0.6,0.728,3.57,4.41,0.82,0.7,1.02,4.83,4.78,0.33,0.7,0.626,,,,,,,,,,,,,,,,,,,,,,,,,,1.202
