run_id,date,day_type,number_of_tasks,task_1_planned,task_1_achieved,task_1_importance,task_1_quality,task_1_score,task_2_planned,task_2_achieved,task_2_importance,task_2_quality,task_2_score,task_3_planned,task_3_achieved,task_3_importance,task_3_quality,task_3_score,task_4_planned,task_4_achieved,task_4_importance,task_4_quality,task_4_score,task_5_planned,task_5_achieved,task_5_importance,task_5_quality,task_5_score,task_6_planned,task_6_achieved,task_6_importance,task_6_quality,task_6_score,task_7_planned,task_7_achieved,task_7_importance,task_7_quality,task_7_score,task_8_planned,task_8_achieved,task_8_importance,task_8_quality,task_8_score,task_9_planned,task_9_achieved,task_9_importance,task_9_quality,task_9_score,task_10_planned,task_10_achieved,task_10_importance,task_10_quality,task_10_score,daily_efficiency,eff_rolling_mean,eff_rolling_std,eff_daytype_mean,eff_daytype_std,eff_trend_short,eff_trend_medium,eff_trend_direction,days_since_improvement,total_planned,total_achieved,completion_ratio,avg_task_score,task_score_variance,task_count_mean,task_count_std,workload_intensity_mean,completion_ratio_mean,completion_ratio_std,importance_weighted_effort,importance_effort_ratio,importance_effort_ratio_mean,importance_effort_ratio_std,task_quality_mean,task_quality_std,task_quality_mean_baseline,task_quality_std_baseline,quality_weighted_completion,planning_pressure,planning_pressure_mean,planning_pressure_std,overplanning_frequency,efficiency_volatility,efficiency_cv,efficiency_momentum,improvement_streak,daytype_performance_delta,daytype_percentile
11,2025-12-19,Normal,3,3.12,3.13,0.68,0.86,0.91,2.2,1.73,0.97,0.71,0.745,3.07,2.96,0.54,0.8,0.733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.049,1.0185714285714287,0.14761984638800774,1.0046,0.09154397850213858,-0.0770000000000002,0.03896428571428565,improving,10,8.39,7.819999999999999,0.9320619785458878,0.7959999999999999,0.09890904913100725,5.0,2.160246899469287,12.764285714285714,0.8246914821196494,0.15919808627030882,0.0,0.0,0.0,0.0,0.79,0.07549834435270751,0.7752380952380952,0.10169071185218144,0.0,1.0728900255754477,1.253650280975301,0.2498560724595539,0.5714285714285714,0.14761984638800774,0.1449283204370342,0.03042857142857125,1,0.044399999999999995,72.72727272727273
12,2025-12-20,Efficient,5,0.55,0.69,0.2,0.99,0.852,0.83,0.89,0.49,1.0,0.928,3.13,3.79,0.45,0.98,0.984,1.75,1.62,0.2,0.78,0.532,1.89,2.23,0.72,1.0,1.129,,,,,,,,,,,,,,,,,,,,,,,,,,1.301,1.0805714285714285,0.16362238757054506,1.28225,0.09233047528669322,0.15049999999999988,0.04757142857142855,improving,11,8.15,9.22,1.1312883435582823,0.8850000000000001,0.22185806273381184,5.0,2.160246899469287,12.335714285714287,0.8953367739924855,0.17118047199318678,0.0,0.0,0.0,0.0,0.95,0.09539392014169455,0.7923809523809523,0.10258087580090423,0.0,0.8839479392624728,1.1555824815540443,0.23929843609337184,0.42857142857142855,0.16362238757054506,0.151422093203836,0.22042857142857142,2,0.018750000000000044,72.97297297297297
13,2025-12-21,Chill,4,2.19,2.22,0.8,0.98,0.966,1.73,1.18,0.57,0.83,0.65,4.75,4.88,0.86,0.85,0.962,3.23,2.45,0.48,0.74,0.639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.055,1.1074285714285714,0.13578519450816057,0.92375,0.09315712533134542,0.0030000000000000235,0.014321428571428511,stable,12,11.9,10.73,0.9016806722689076,0.80425,0.18452529185272495,5.0,2.160246899469287,12.19,0.9192168523396137,0.15599303779152152,0.0,0.0,0.0,0.0,0.85,0.09899494936611666,0.7938095238095239,0.09752125413543902,0.0,1.109040074557316,1.119526336853592,0.2214625076631791,0.2857142857142857,0.13578519450816057,0.1226130497364711,-0.05242857142857149,0,0.13124999999999998,70.0
14,2025-12-22,Normal,4,4.17,4.69,0.78,1.0,1.05,2.39,2.47,0.67,0.85,0.911,3.36,3.11,0.56,0.96,0.757,4.6,3.67,0.79,0.77,0.701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.073,1.1287142857142858,0.11179850071402893,1.016,0.08651011501552872,-0.11400000000000002,-0.015571428571428623,stable,13,14.52,13.94,0.9600550964187328,0.85475,0.15756559480631133,5.142857142857143,2.0354009783964297,13.20142857142857,0.9651617432258536,0.09492017740594613,0.0,0.0,0.0,0.0,0.895,0.10472185381603338,0.8235714285714285,0.09674560311691208,0.0,1.0416068866571018,1.0445679221655086,0.10115428152191516,0.14285714285714285,0.11179850071402893,0.09904942475613245,-0.05571428571428583,1,0.05699999999999994,75.75757575757575
15,2025-12-23,Efficient,5,2.72,2.99,0.71,0.75,0.992,1.08,1.09,0.84,0.72,0.993,3.5,3.58,0.87,0.67,1.001,1.04,1.22,0.78,0.72,1.066,4.43,6.19,0.45,0.82,1.039,,,,,,,,,,,,,,,,,,,,,,,,,,1.389,1.1528571428571428,0.14738207553999294,1.3035999999999999,0.09312786908332009,0.1669999999999999,0.02535714285714284,improving,14,12.77,15.07,1.1801096319498825,1.0181999999999998,0.03291959902550458,4.714285714285714,1.6035674514745464,12.231428571428571,0.9908186552981564,0.12543531396136823,0.0,0.0,0.0,0.0,0.736,0.05504543577809151,0.8206785714285714,0.09638719077576706,0.0,0.8473788984737889,1.0228379056908175,0.12579028830698102,0.14285714285714285,0.14738207553999294,0.12784070988599142,0.2361428571428572,2,0.08540000000000014,81.08108108108108
16,2025-12-24,Efficient,7,4.66,4.91,0.33,0.83,0.778,3.87,3.68,0.89,0.53,0.751,3.82,3.92,0.72,0.66,0.923,2.63,2.93,0.2,0.7,0.693,3.01,3.7,0.2,0.67,0.735,2.74,3.02,0.73,0.53,0.931,0.9,1.2,0.44,0.86,1.009,,,,,,,,,,,,,,,,1.405,1.1817142857142857,0.17586046958286217,1.3205,0.093015590091124,0.16599999999999993,0.0595357142857143,improving,15,21.630000000000003,23.36,1.079981507165973,0.8314285714285715,0.12084129694611462,4.571428571428571,1.2724180205607034,11.925714285714287,1.0019440860652407,0.12997457961825992,0.0,0.0,0.0,0.0,0.6828571428571427,0.12957806986707351,0.8076938775510205,0.09707286147707266,0.0,0.9259417808219179,1.012558028152003,0.13100028915815587,0.14285714285714285,0.17586046958286217,0.14881809563346654,0.2232857142857143,3,0.08450000000000002,85.13513513513513
17,2025-12-25,Normal,5,3.01,3.16,0.8,0.86,0.989,2.41,2.47,0.57,0.67,0.804,2.67,2.75,0.82,0.75,0.959,4.95,4.61,0.31,0.67,0.582,2.35,2.22,0.78,0.76,0.815,,,,,,,,,,,,,,,,,,,,,,,,,,1.189,1.2087142857142859,0.15678617528948405,1.0407142857142857,0.1025292060597277,-0.09999999999999988,0.034357142857142836,improving,16,15.389999999999999,15.210000000000003,0.9883040935672517,0.8298,0.16149829720464548,4.714285714285714,1.2535663410560176,13.25,1.0247830462107026,0.1062923711762054,0.0,0.0,0.0,0.0,0.742,0.0785493475466219,0.8065510204081633,0.0911117029811913,0.0,1.011834319526627,0.9846628464106674,0.09972727905190538,0.0,0.15678617528948405,0.12971318130556533,-0.019714285714285795,0,0.14828571428571435,87.87878787878788
18,2025-12-26,Normal,3,3.88,3.03,0.42,0.73,0.555,1.92,1.42,0.87,0.6,0.634,3.1,2.0,0.99,0.91,0.663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.819,1.175857142857143,0.21067465325427628,0.9982857142857143,0.12514087300014373,-0.29300000000000004,-0.030214285714285714,declining,17,8.9,6.449999999999999,0.7247191011235954,0.6173333333333334,0.05589573627150225,4.714285714285714,1.2535663410560176,13.322857142857144,0.995162635150375,0.1544279780967044,0.0,0.0,0.0,0.0,0.7466666666666667,0.15567059238447492,0.8003605442176871,0.10256488127144378,0.0,1.3798449612403103,1.0285135515056478,0.18009157832389325,0.14285714285714285,0.21067465325427628,0.17916687799537528,-0.356857142857143,0,-0.17928571428571438,9.090909090909092
19,2025-12-27,Chill,4,1.13,0.78,0.31,0.8,0.575,1.62,1.1,0.2,0.88,0.552,2.04,1.44,0.77,0.93,0.761,3.74,2.43,0.84,0.84,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.939,1.124142857142857,0.21909771683842236,0.9267999999999998,0.08096418961491554,-0.12499999999999997,-0.037714285714285735,declining,18,8.530000000000001,5.75,0.6740914419695192,0.6545000000000001,0.10625284309921625,4.571428571428571,1.2724180205607034,13.377142857142857,0.929848792066266,0.18155954873738253,0.0,0.0,0.0,0.0,0.8625,0.05560275772537426,0.7878605442176871,0.09688042949768373,0.0,1.4834782608695654,1.114160740306661,0.2342873745979073,0.2857142857142857,0.21909771683842236,0.19490202285791797,-0.18514285714285716,1,0.0122000000000001,36.666666666666664
20,2025-12-28,Normal,5,1.52,1.32,0.94,0.75,0.822,3.77,3.53,0.65,0.94,0.805,0.85,0.63,0.64,0.66,0.566,1.9,1.5,0.49,0.66,0.56,4.05,3.81,0.77,0.66,0.783,,,,,,,,,,,,,,,,,,,,,,,,,,0.989,1.1147142857142858,0.22393579011680573,0.998,0.12516256096240072,0.08500000000000002,-0.06207142857142865,declining,19,12.09,10.79,0.8924731182795699,0.7072,0.13237711282544276,4.714285714285714,1.2535663410560176,13.404285714285717,0.9285334272106464,0.18183078450008552,0.0,0.0,0.0,0.0,0.734,0.12157302332343303,0.7712891156462585,0.10010586863444322,0.0,1.1204819277108435,1.115795290757165,0.2342856082086337,0.2857142857142857,0.22393579011680573,0.2008907510979931,-0.12571428571428578,2,-0.009000000000000008,46.96969696969697
21,2025-12-29,Chill,3,1.13,0.49,0.74,0.58,0.503,4.82,2.06,0.26,0.68,0.43,3.87,1.73,0.53,0.95,0.523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.776,1.0722857142857143,0.25860827151357324,0.9016666666666667,0.0950487594167681,-0.08149999999999986,-0.10432142857142854,declining,20,9.82,4.279999999999999,0.4358452138492871,0.48533333333333334,0.048952357791360104,4.571428571428571,1.3972762620115435,12.732857142857142,0.853646301129297,0.25847826908593824,0.0,0.0,0.0,0.0,0.7366666666666667,0.1913983629327412,0.7486700680272109,0.1124882270796872,0.0,2.294392523364486,1.2947646674296485,0.4981157379202643,0.42857142857142855,0.25860827151357324,0.24117478025513092,-0.29628571428571426,0,-0.1256666666666667,3.3333333333333335
22,2025-12-30,Efficient,6,3.71,3.08,0.48,0.44,0.469,0.96,0.73,0.65,0.9,0.582,4.91,4.62,0.38,0.65,0.565,1.38,1.13,0.2,0.96,0.534,4.12,4.11,0.95,0.81,0.933,3.35,3.03,0.47,0.69,0.588,,,,,,,,,,,,,,,,,,,,,0.969,1.0122857142857142,0.21849081924702912,1.2702857142857142,0.15767129762654364,-0.009999999999999988,-0.07014285714285723,declining,21,18.43,16.700000000000003,0.9061313076505699,0.6118333333333333,0.16325368806451718,4.714285714285714,1.4960264830861913,13.54142857142857,0.8145065405151095,0.2184487037615055,0.0,0.0,0.0,0.0,0.7416666666666667,0.18946415668053593,0.7494795918367346,0.1316909014943221,0.0,1.1035928143712572,1.3313666554150012,0.468282401023373,0.42857142857142855,0.21849081924702912,0.21583908195444593,-0.04328571428571426,1,-0.30128571428571427,45.94594594594595
23,2025-12-31,Normal,6,3.16,1.96,0.54,0.51,0.426,1.83,1.57,0.39,0.9,0.637,2.41,1.29,0.26,0.73,0.388,1.13,0.93,0.52,0.88,0.645,1.73,1.25,0.49,0.84,0.558,1.12,0.94,0.44,0.69,0.587,,,,,,,,,,,,,,,,,,,,,0.903,0.9405714285714285,0.13425579707267327,1.0031428571428571,0.11949397275096987,0.06350000000000006,-0.02575000000000004,declining,22,11.38,7.9399999999999995,0.6977152899824253,0.5401666666666667,0.10868931256874646,4.571428571428571,1.2724180205607034,12.077142857142858,0.7598970809174598,0.1864613024152606,0.0,0.0,0.0,0.0,0.7583333333333333,0.14743360087397536,0.7602619047619047,0.13424169163816524,0.0,1.4332493702770783,1.4038391681943097,0.4330079571128594,0.5714285714285714,0.13425579707267327,0.14273854488285434,-0.03757142857142848,0,-0.10014285714285709,33.33333333333333
24,2026-01-01,Normal,5,1.25,0.98,0.71,0.89,0.69,1.8,1.17,0.2,0.79,0.451,3.8,2.28,0.5,0.56,0.418,2.73,2.01,0.87,0.8,0.681,3.6,2.44,0.74,0.82,0.588,,,,,,,,,,,,,,,,,,,,,,,,,,0.822,0.8881428571428571,0.0829144711362813,0.9777142857142856,0.13780991048749522,-0.0734999999999999,-0.0029642857142857196,stable,23,13.179999999999998,8.879999999999999,0.6737481031866465,0.5656000000000001,0.1267016179849334,4.571428571428571,1.2724180205607034,11.76142857142857,0.7149605108630875,0.15796820325046068,0.0,0.0,0.0,0.0,0.772,0.12477980605851251,0.764547619047619,0.14084604285414962,0.0,1.484234234234234,1.4713248702953965,0.3970496759194341,0.7142857142857143,0.0829144711362813,0.09335713333665258,-0.06614285714285717,0,-0.1557142857142857,13.636363636363635
25,2026-01-02,Efficient,5,0.91,0.91,0.44,0.77,0.666,4.13,5.09,0.7,0.68,1.047,4.94,4.71,0.62,0.61,0.652,4.66,6.25,0.74,0.89,1.222,4.23,5.59,0.57,0.93,1.112,,,,,,,,,,,,,,,,,,,,,,,,,,1.35,0.9639999999999999,0.18686001890898568,1.2624285714285715,0.15107156928958887,0.22349999999999987,0.036642857142857095,improving,24,18.87,22.55,1.1950185479597244,0.9398,0.2639018757038305,4.857142857142857,1.0690449676496983,13.185714285714285,0.7821461461253918,0.24100029088055785,0.0,0.0,0.0,0.0,0.776,0.1355728586406586,0.7687380952380953,0.13797493803360442,0.0,0.8368070953436807,1.3937480323101636,0.46511786020907386,0.5714285714285714,0.18686001890898568,0.19383819388898932,0.38600000000000023,1,0.08757142857142863,75.67567567567568
26,2026-01-03,Efficient,7,2.92,3.7,0.26,0.85,0.856,0.5,0.52,0.2,0.66,0.643,2.29,2.25,0.98,0.52,0.824,4.34,5.62,0.43,0.82,0.962,0.99,1.12,0.3,0.8,0.789,4.57,6.54,0.76,0.83,1.272,1.54,2.08,0.53,0.92,1.098,,,,,,,,,,,,,,,,1.456,1.037857142857143,0.262283198452505,1.2961428571428573,0.1656546896120849,0.3169999999999999,0.0857857142857143,improving,25,17.150000000000002,21.83,1.272886297376093,0.9205714285714286,0.2099808381280358,5.285714285714286,1.253566341056019,14.417142857142858,0.867688268326331,0.2962022775885724,0.0,0.0,0.0,0.0,0.7714285714285714,0.13569924728710073,0.7557278911564626,0.14941729368527962,0.0,0.7856161245991756,1.2940534414143936,0.5148151070035668,0.42857142857142855,0.262283198452505,0.2527160893554762,0.4181428571428569,2,0.1598571428571427,91.8918918918919
27,2026-01-04,Normal,4,4.98,3.83,0.62,0.82,0.623,4.17,3.29,0.92,0.67,0.717,4.5,4.87,0.4,1.0,0.831,0.89,0.77,0.45,0.72,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.993,1.0384285714285713,0.26216334421047305,0.9697142857142858,0.13456933068832874,-0.17849999999999994,0.07400000000000004,improving,26,14.54,12.760000000000002,0.87757909215956,0.6952499999999999,0.10228839947260229,5.142857142857143,1.3451854182690997,14.767142857142858,0.8655605503091867,0.2960480211083776,0.0,0.0,0.0,0.0,0.8025,0.14568802284333465,0.7655136054421768,0.15286229361669412,0.0,1.1394984326018807,1.296770084970256,0.513795693135704,0.42857142857142855,0.26216334421047305,0.2524616053753352,-0.04542857142857126,0,0.023285714285714243,54.54545454545454
28,2026-01-05,Chill,3,4.21,2.65,0.93,0.79,0.741,4.09,3.01,0.62,0.96,0.726,1.21,0.99,0.77,0.79,0.792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.931,1.0605714285714285,0.2420804667480471,0.9058571428571429,0.08747271683488622,-0.2624999999999998,0.025000000000000046,improving,27,9.510000000000002,6.65,0.6992639327024184,0.7530000000000001,0.03459768778401242,5.142857142857143,1.3451854182690997,14.722857142857142,0.9031917958596339,0.24459255404310615,0.0,0.0,0.0,0.0,0.8466666666666667,0.09814954576223633,0.7812278911564626,0.13954103402090773,0.0,1.430075187969925,1.1732961799138903,0.2885928995424219,0.42857142857142855,0.2420804667480471,0.22825475043592805,-0.12957142857142845,0,0.025142857142857133,33.33333333333333
29,2026-01-06,Efficient,8,1.66,1.54,0.68,0.72,0.698,1.78,1.52,0.7,0.82,0.673,3.89,4.54,0.8,0.93,1.148,2.63,2.3,0.84,0.91,0.779,3.17,3.19,0.83,0.77,0.999,4.75,4.23,0.2,0.74,0.505,4.28,4.96,0.58,0.67,0.924,1.94,2.21,0.39,0.82,0.857,,,,,,,,,,,1.154,1.087,0.24051056802837859,1.289142857142857,0.17118939664538083,0.08050000000000006,0.021928571428571412,improving,28,24.1,24.490000000000002,1.0161825726141078,0.822875,0.20323908334766713,5.428571428571429,1.7182493859684502,15.532857142857141,0.9189134051401392,0.2483214304328857,0.0,0.0,0.0,0.0,0.7975,0.09067209367511359,0.789204081632653,0.12542788216299025,0.0,0.9840751327072275,1.1562222253904575,0.29682221841655565,0.42857142857142855,0.24051056802837859,0.22126087215122225,0.06699999999999995,1,-0.135142857142857,54.054054054054056
30,2026-01-07,Normal,6,0.91,0.77,0.72,0.68,0.687,1.33,1.33,0.2,0.82,0.606,1.97,2.09,0.2,0.77,0.653,4.89,5.51,0.64,0.93,0.953,1.16,0.95,0.72,0.65,0.66,2.06,2.37,0.73,0.71,0.943,,,,,,,,,,,,,,,,,,,,,1.161,1.1238571428571429,0.22700325149758593,0.9822857142857142,0.14914725864696535,0.11500000000000003,0.0035714285714285275,stable,29,12.32,13.02,1.0568181818181817,0.7503333333333333,0.155352073261565,5.428571428571429,1.7182493859684502,15.667142857142858,0.9702138182595331,0.2315340836864554,0.0,0.0,0.0,0.0,0.7600000000000001,0.10353743284435828,0.7894421768707484,0.11915700101590211,0.0,0.946236559139785,1.0866489666565582,0.27751499922979544,0.2857142857142857,0.22700325149758593,0.20198585998259838,0.037142857142857144,2,0.17871428571428583,84.84848484848484
31,2026-01-08,Chill,4,4.1,3.06,0.29,0.63,0.543,0.64,0.68,0.74,0.97,0.947,2.03,2.05,0.67,0.95,0.896,2.54,2.38,0.78,0.75,0.861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.121,1.1665714285714286,0.18497824839951452,0.9447142857142856,0.11430473056077524,-0.0164999999999999,-0.039857142857142897,declining,30,9.309999999999999,8.17,0.8775510204081634,0.81175,0.18261320689734717,5.285714285714286,1.7994708216848758,15.114285714285716,0.9993285207197496,0.19849811252154528,0.0,0.0,0.0,0.0,0.825,0.16360521589077368,0.7970136054421769,0.12470348813479656,0.0,1.13953488372093,1.037406202297515,0.21978640203690408,0.14285714285714285,0.18497824839951452,0.1585657284835417,-0.045571428571428596,0,0.17628571428571438,96.66666666666667
