date,day_type,number_of_tasks,task_1_planned,task_1_achieved,task_1_importance,task_1_quality,task_1_score,task_2_planned,task_2_achieved,task_2_importance,task_2_quality,task_2_score,task_3_planned,task_3_achieved,task_3_importance,task_3_quality,task_3_score,task_4_planned,task_4_achieved,task_4_importance,task_4_quality,task_4_score,task_5_planned,task_5_achieved,task_5_importance,task_5_quality,task_5_score,task_6_planned,task_6_achieved,task_6_importance,task_6_quality,task_6_score,task_7_planned,task_7_achieved,task_7_importance,task_7_quality,task_7_score,task_8_planned,task_8_achieved,task_8_importance,task_8_quality,task_8_score,task_9_planned,task_9_achieved,task_9_importance,task_9_quality,task_9_score,task_10_planned,task_10_achieved,task_10_importance,task_10_quality,task_10_score,daily_efficiency
33,Normal,3,3,2.005948180879003,1.0,0.65,0.43,3,2.2585187845467853,0.7,0.9,0.47,5.0,3.2117363941366017,0.5,0.9,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4
34,Efficient,2,5,4.0496668562679154,0.7,0.99,0.56,3,1.0686859257629977,0.7,0.67,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37
35,Efficient,3,5,3.7454623682567565,0.5,0.63,0.24,1,0.35570102408284177,0.5,0.94,0.17,2.0,0.8693931630351452,0.7,0.68,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21
36,Normal,2,3,1.8140803899889826,0.7,0.92,0.39,5,3.3820914082938867,0.7,0.97,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43
37,Chill,5,4,3.2564746722931797,0.5,0.64,0.26,3,2.4589294962275696,1.0,0.77,0.63,5.0,3.1925085191808176,1.0,0.98,0.63,1.0,0.0,1.0,0.8,0.0,1.0,0.0,1.0,0.85,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.3
38,Chill,4,2,1.8449260753373944,0.7,0.99,0.64,2,1.9982644108101322,0.5,0.96,0.48,4.0,3.92813229966202,1.0,0.62,0.61,3.0,1.467750076227601,1.0,0.71,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52
39,Chill,5,1,0.0,0.7,0.7,0.0,3,2.0205884270242986,0.7,0.72,0.34,5.0,3.0529530965160667,0.7,0.77,0.33,5.0,3.8439785773521127,0.5,0.8,0.31,3.0,1.2267811708550413,0.7,0.85,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,0.24
40,Normal,2,2,1.8283979537290067,0.7,0.96,0.61,5,3.914748352166564,0.5,0.76,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45
41,Normal,2,5,4.056134699748507,0.5,0.66,0.27,3,1.5044346040294885,1.0,0.69,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31
42,Chill,5,1,0.0,0.7,0.85,0.0,5,4.844064931222456,0.5,0.97,0.47,3.0,1.2776619696148899,0.5,0.74,0.16,4.0,2.2060431802044853,1.0,0.8,0.44,4.0,2.8032415079658755,0.7,0.92,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,0.3
43,Efficient,5,2,1.9288508402820876,0.7,0.98,0.66,1,0.0,1.0,0.95,0.0,5.0,4.5610383562706325,0.7,0.65,0.42,3.0,1.0694325018128739,1.0,0.85,0.3,2.0,1.0863622514774898,0.5,0.94,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,0.33
44,Chill,4,1,0.0,0.7,0.82,0.0,5,4.297417413497262,0.5,0.67,0.29,2.0,1.6994073386648956,1.0,0.99,0.84,1.0,0.7174424646422106,0.7,0.72,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37
45,Efficient,4,4,3.2385092071882555,0.5,0.76,0.31,5,3.215804340276309,0.5,0.85,0.27,3.0,1.883096846434009,1.0,0.7,0.44,1.0,0.3855158159061616,0.7,0.61,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3
46,Efficient,5,2,0.9955262678884897,1.0,0.79,0.39,4,2.3309937121565687,1.0,0.99,0.58,2.0,0.22018566322125954,0.7,0.88,0.07,2.0,1.5027887655265106,0.5,0.79,0.3,1.0,0.0,0.7,0.74,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.27
47,Efficient,3,2,1.5551075738777393,0.5,0.75,0.29,4,2.6475600690220453,0.7,0.77,0.36,1.0,0.0,0.5,0.99,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22
48,Efficient,5,2,0.019541825579114658,1.0,0.84,0.01,2,1.0094129066975175,0.7,0.76,0.27,2.0,0.1034274042819121,0.5,0.88,0.02,2.0,0.2700563471558517,0.5,0.94,0.06,3.0,1.929353754039947,0.5,0.9,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,0.13
49,Chill,3,1,0.7326471661754606,0.7,0.94,0.48,2,1.82185423149275,0.7,0.68,0.43,1.0,0.6575033533026833,0.5,0.97,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41
50,Chill,2,4,2.3860852408815165,1.0,0.67,0.4,3,1.5367640736160273,1.0,0.7,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38
